name,clean_mode,fit_count,status,weight_mode,test_mra_percent,train_mra_percent,test_p75_count,test_benefit,test_tie,test_harm,test_switch_delta_sum,threshold,far_guard_proxy,far_guard_threshold
quality_loose:random_forest_delta:far_guard,quality_loose,593,ok,delta,32.31051344743276,31.96796338672769,168,49,55,64,4.499999999999998,0.044308788316235734,p75,3.0
drop_far_proxy:lgbm_delta:delta_quality,drop_far_proxy,1297,ok,delta_quality,32.29828850855746,32.173913043478265,146,41,47,58,4.399999999999999,0.0434293694447438,,
none:xgb_delta:delta_quality,none,1311,ok,delta_quality,32.27383863080684,31.91456903127384,182,47,69,66,4.199999999999999,0.04901776387344433,,
none:xgb_delta:far_guard:delta_quality,none,1311,ok,delta_quality,32.27383863080684,31.94508009153318,182,47,69,66,4.199999999999999,0.04901776387344433,p75,3.0
non_tie:decision_tree_delta_d3,non_tie,509,ok,delta,32.27383863080684,31.197559115179253,226,56,81,89,4.199999999999999,0.07326453090307064,,
non_tie:decision_tree_delta_d3:far_guard,non_tie,509,ok,delta,32.27383863080684,31.228070175438592,223,56,78,89,4.199999999999999,0.07326453090307064,p75,2.5
switch_relevant:decision_tree_delta_d3,switch_relevant,509,ok,delta,32.27383863080684,31.197559115179253,226,56,81,89,4.199999999999999,0.07326453090307064,,
switch_relevant:decision_tree_delta_d3:far_guard,switch_relevant,509,ok,delta,32.27383863080684,31.228070175438592,223,56,78,89,4.199999999999999,0.07326453090307064,p75,2.5
drop_far_proxy:decision_tree_delta_d3:far_guard,drop_far_proxy,1297,ok,delta,32.27383863080684,30.999237223493516,50,16,17,17,4.2,0.2039610113315716,p90,2.5
drop_far_proxy:decision_tree_delta_d3:far_guard:delta_quality,drop_far_proxy,1297,ok,delta_quality,32.27383863080684,30.999237223493516,50,16,17,17,4.2,0.20446236785266128,p90,2.5
quality_strict:random_forest_delta:delta_quality,quality_strict,390,ok,delta_quality,32.26161369193154,31.46453089244851,68,21,25,22,4.099999999999999,0.09617154599682155,,
quality_strict:random_forest_delta:far_guard:delta_quality,quality_strict,390,ok,delta_quality,32.26161369193154,31.46453089244851,68,21,25,22,4.099999999999999,0.09617154599682154,,
non_tie_quality_strict:logistic_switch:quality,non_tie_quality_strict,185,ok,quality,32.26161369193154,31.10602593440122,90,32,21,37,4.099999999999999,0.5831343584090204,,
non_tie_quality_strict:logistic_switch:far_guard:quality,non_tie_quality_strict,185,ok,quality,32.26161369193154,31.113653699466052,89,32,20,37,4.099999999999999,0.5831343584090204,p75,2.5
drop_far_proxy:ridge_delta:far_guard:delta_quality,drop_far_proxy,1297,ok,delta_quality,32.24938875305624,31.426392067124333,127,34,51,42,3.999999999999999,0.12240771108773707,median,2.0
quality_loose:gbrt_delta:delta_quality,quality_loose,593,ok,delta_quality,32.24938875305624,31.80778032036613,88,28,28,32,3.999999999999999,0.1086349073597474,,
quality_loose:gbrt_delta:far_guard:delta_quality,quality_loose,593,ok,delta_quality,32.24938875305624,31.84591914569031,88,28,28,32,3.999999999999999,0.1086349073597474,p75,2.5
quality_strict:decision_tree_delta_d3,quality_strict,390,ok,delta,32.24938875305624,30.60259344012205,137,45,31,61,3.9999999999999973,0.18017815676272403,,
quality_strict:decision_tree_delta_d3:delta_quality,quality_strict,390,ok,delta_quality,32.24938875305624,30.60259344012205,137,45,31,61,3.9999999999999973,0.15846745109761431,,
quality_strict:xgb_delta:quality,quality_strict,390,ok,quality,32.24938875305624,31.777269260106788,75,24,21,30,3.999999999999999,0.019614820851932602,,
quality_strict:xgb_delta:far_guard:quality,quality_strict,390,ok,quality,32.24938875305624,31.777269260106788,75,24,21,30,3.999999999999999,0.019614820851932602,,
non_tie_quality_loose:ridge_delta:far_guard:quality,non_tie_quality_loose,271,ok,quality,32.24938875305623,31.197559115179253,162,49,54,59,4.000000000000001,0.04372461613796284,median,2.0
drop_far_proxy:ridge_delta:delta_quality,drop_far_proxy,1297,ok,delta_quality,32.23716381418094,31.37299771167048,131,34,54,43,3.8999999999999977,0.12240771108773707,,
non_tie:logistic_switch:far_guard:delta_quality,non_tie,509,ok,delta_quality,32.23716381418093,31.250953470633107,226,55,85,86,3.8999999999999977,0.6349364539771971,median,2.0
switch_relevant:logistic_switch:far_guard:delta_quality,switch_relevant,509,ok,delta_quality,32.23716381418093,31.250953470633107,226,55,85,86,3.8999999999999977,0.6349364539771971,median,2.0
none:xgb_delta,none,1311,ok,delta,32.224938875305625,32.036613272311214,236,61,86,89,3.8000000000000016,0.01822241475876375,,
none:xgb_delta:far_guard,none,1311,ok,delta,32.224938875305625,32.06712433257056,236,61,86,89,3.8000000000000016,0.01822241475876375,p75,3.0
non_tie:decision_tree_delta_d3:delta_quality,non_tie,509,ok,delta_quality,32.224938875305625,31.083142639206713,93,30,25,38,3.7999999999999967,0.2097442989365481,,
switch_relevant:decision_tree_delta_d3:delta_quality,switch_relevant,509,ok,delta_quality,32.224938875305625,31.083142639206713,93,30,25,38,3.7999999999999967,0.2097442989365481,,
quality_loose:gbrt_delta,quality_loose,593,ok,delta,32.224938875305625,31.79252479023646,119,32,48,39,3.799999999999999,0.08765559069421575,,
