cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
recall,0.1,1180,clean,dt3,0.01992363862747225,31.365369946605643,32.38386308068459,94,32,24,38,5.099999999999999
linear,0.0,1311,delta_clean,gbrt,0.03569290873190954,32.18916857360794,32.37163814180929,177,47,60,70,4.999999999999999
geom,0.0,1311,clean,lgbm,-0.01156418565782897,32.50190694126621,32.35941320293399,173,50,51,72,4.8999999999999995
geom,0.4,787,delta_clean,rf,0.03390442080986608,32.00610221205187,32.35941320293399,157,46,48,63,4.900000000000002
geom,0.2,1049,delta_clean,rf,0.0008759603943681618,32.21205186880244,32.359413202933986,214,59,70,85,4.8999999999999995
recall,0.1,1180,delta_clean2,rf,0.020169281182641163,32.02135774218154,32.359413202933986,163,48,48,67,4.899999999999998
recall,0.2,1049,delta_clean,lgbm,0.023739614640859177,32.32646834477498,32.359413202933986,210,55,75,80,4.8999999999999995
recall,0.3,918,delta_clean2,rf,0.017765650407050502,31.94508009153318,32.359413202933986,177,51,52,74,4.9
recall,0.2,1049,delta_clean2,rf,0.014582522112275894,32.257818459191455,32.34718826405869,193,56,59,78,4.799999999999997
geom,0.0,1311,delta_clean2,lgbm,0.024424165686909038,31.983218916857364,32.34718826405867,206,54,72,80,4.799999999999997
geom,0.1,1180,clean,rf,-0.022880016101636206,31.952707856598018,32.334963325183374,171,51,50,70,4.7
geom,0.1,1180,delta_clean,lgbm,0.020162779386898814,32.21967963386728,32.334963325183374,235,59,84,92,4.699999999999999
geom,0.1,1180,delta_clean2,rf,0.03817566208917262,31.876430205949656,32.334963325183374,146,42,44,60,4.699999999999998
geom,0.4,787,clean,gbrt,-0.02333106980535638,32.21205186880244,32.334963325183374,181,47,61,73,4.700000000000001
linear,0.2,1049,clean,lgbm,-0.00997899283228496,32.34935163996949,32.322738386308075,152,45,42,65,4.599999999999997
recall,0.2,1049,clean,rf,-0.02433494154172003,31.975591151792525,32.31051344743277,177,51,51,75,4.499999999999999
geom,0.4,787,delta_clean2,gbrt,0.032266015772142116,31.861174675819985,32.29828850855746,212,52,71,89,4.4
geom,0.3,918,delta_clean2,rf,0.009009687997712198,31.998474446987036,32.298288508557455,218,60,69,89,4.399999999999999
recall,0.1,1180,clean,rf,-0.03097761583483375,31.983218916857364,32.298288508557455,199,54,64,81,4.399999999999998
recall,0.1,1180,clean,lgbm,-0.004376404663143232,32.34172387490465,32.298288508557455,134,42,35,57,4.3999999999999995
linear,0.4,787,clean,gbrt,-0.0016367309686901941,32.051868802440886,32.286063569682156,107,33,32,42,4.3
geom,0.4,787,clean,xgb,-0.028783276677131656,32.22730739893211,32.286063569682156,227,62,72,93,4.299999999999999
recall,0.1,1180,delta_clean,xgb,0.09034455039455921,31.899313501144167,32.286063569682156,105,34,33,38,4.299999999999998
recall,0.2,1049,delta_clean2,lgbm,0.02899259921461296,32.028985507246375,32.286063569682156,185,49,63,73,4.299999999999999
linear,0.1,1180,delta_clean,gbrt,0.03611898480031418,32.273073989321134,32.27383863080684,185,47,61,77,4.199999999999998
geom,0.1,1180,delta_clean2,xgb,0.13754774441447437,30.90007627765065,32.27383863080684,34,15,7,12,4.199999999999999
geom,0.4,787,delta_clean2,rf,0.015896325935337376,31.94508009153318,32.27383863080684,214,60,65,89,4.199999999999998
recall,0.1,1180,delta_clean,rf,0.012701294572218691,32.051868802440886,32.27383863080684,157,47,47,63,4.199999999999998
recall,0.1,1180,delta_clean2,lgbm,0.03915609253538701,32.05949656750572,32.27383863080684,178,48,62,68,4.199999999999998
recall,0.4,787,clean,xgb,-0.020256322796774813,32.135774218154076,32.27383863080684,192,56,59,77,4.199999999999999
recall,0.2,1049,delta_clean,xgb,0.06964868561753744,32.00610221205187,32.26161369193154,135,40,47,48,4.099999999999998
recall,0.4,787,delta_clean,lgbm,0.04238249093941438,31.891685736079328,32.26161369193154,181,49,59,73,4.099999999999997
linear,0.1,1180,clean,lgbm,-0.0025171084674128746,32.44088482074752,32.24938875305624,135,41,37,57,3.9999999999999982
geom,0.0,1311,delta_clean,xgb,0.07727274902259237,31.899313501144167,32.24938875305624,140,38,51,51,3.9999999999999982
recall,0.3,918,clean,xgb,-0.031045638142695953,32.151029748283754,32.24938875305624,233,61,77,95,4.000000000000001
