cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
geom,0.1,1180,delta_clean2,gbrt,0.012949076368137316,31.88405797101449,32.00488997555012,246,54,92,100,2.0000000000000004
linear,0.2,1049,delta_clean,rf,0.006378818265780705,32.173913043478265,31.992665036674815,196,51,62,83,1.8999999999999997
geom,0.0,1311,delta_clean,rf,0.004990365126252699,32.166285278413426,31.968215158924206,207,52,69,86,1.7000000000000004
geom,0.3,918,clean,rf,-0.03535048151374483,31.937452326468346,31.968215158924206,212,55,66,91,1.6999999999999977
geom,0.4,787,delta_clean2,lgbm,0.004109278505133777,31.85354691075515,31.968215158924206,254,65,79,110,1.699999999999999
recall,0.3,918,delta_clean2,gbrt,-0.0044258623800243245,31.96796338672769,31.968215158924206,301,63,116,122,1.7000000000000026
linear,0.0,1311,clean,xgb,-0.018106917013661773,32.158657513348594,31.955990220048896,199,52,62,85,1.6000000000000023
linear,0.1,1180,clean,dt2,0.019437419538903326,31.06788710907704,31.955990220048896,156,42,45,69,1.5999999999999983
linear,0.1,1180,delta_clean,rf,-0.0007620763076070328,32.12814645308924,31.955990220048896,215,54,73,88,1.5999999999999983
recall,0.0,1311,delta_clean,rf,-0.004422234013802839,32.151029748283754,31.955990220048896,237,59,82,96,1.6000000000000016
recall,0.0,1311,delta_clean2,rf,-0.00787436498358466,31.990846681922196,31.955990220048896,249,60,86,103,1.5999999999999996
recall,0.4,787,delta_clean,xgb,0.06079872810765155,31.67810831426392,31.955990220048896,134,38,45,51,1.599999999999999
linear,0.0,1311,delta_clean,rf,0.006845999971505749,32.18916857360794,31.943765281173597,204,50,68,86,1.5000000000000002
geom,0.4,787,delta_clean,gbrt,0.020147689104072164,31.94508009153318,31.943765281173587,247,55,87,105,1.500000000000001
recall,0.2,1049,delta_clean,rf,-0.01037371266044844,32.173913043478265,31.931540342298288,257,63,92,102,1.4
linear,0.2,1049,delta_clean2,xgb,0.053441726472935894,30.93821510297483,31.90709046454768,145,39,53,53,1.1999999999999995
recall,0.3,918,clean,rf,-0.028106826826395273,31.8001525553013,31.90709046454768,183,48,58,77,1.1999999999999995
recall,0.1,1180,delta_clean2,gbrt,0.004942426664250212,32.028985507246375,31.89486552567238,251,56,90,105,1.100000000000001
linear,0.3,918,delta_clean2,xgb,0.056754629870381545,30.884820747520976,31.894865525672365,132,37,44,51,1.0999999999999994
linear,0.4,787,clean,xgb,-0.029119139089237286,32.06712433257056,31.894865525672365,207,54,67,86,1.099999999999998
recall,0.3,918,delta_clean2,xgb,0.03783948964710479,30.79328756674295,31.882640586797066,159,39,59,61,0.9999999999999991
geom,0.0,1311,delta_clean2,xgb,0.053978572870734286,30.907704042715483,31.882640586797063,138,38,45,55,0.9999999999999996
linear,0.3,918,clean,rf,-0.04269264726193868,31.94508009153318,31.870415647921767,323,74,122,127,0.9000000000000008
recall,0.2,1049,delta_clean2,xgb,0.05722673237323761,30.78565980167811,31.858190709046454,135,35,45,55,0.7999999999999994
linear,0.1,1180,clean,dt3,0.05123945414947042,31.151792524790235,31.845965770171148,64,20,13,31,0.6999999999999996
geom,0.3,918,delta_clean2,gbrt,0.004407669132577396,31.922196796338675,31.845965770171148,274,59,103,112,0.7000000000000022
recall,0.0,1311,delta_clean,gbrt,0.006392908351804959,32.257818459191455,31.83374083129585,250,56,94,100,0.6000000000000003
linear,0.4,787,delta_clean2,rf,0.010551373699027642,31.823035850495806,31.82151589242055,202,51,65,86,0.4999999999999977
recall,0.1,1180,delta_clean2,xgb,0.06212871710333614,30.854309687261633,31.82151589242054,130,33,43,54,0.4999999999999993
linear,0.0,1311,delta_clean2,xgb,0.05125126120033139,30.854309687261633,31.80929095354524,147,37,56,54,0.39999999999999986
recall,0.4,787,delta_clean2,gbrt,0.008213731392904757,31.78489702517162,31.74816625916871,305,64,117,124,-0.10000000000000092
recall,0.0,1311,delta_clean2,xgb,0.07034283187947699,30.78565980167811,31.748166259168702,127,31,44,52,-0.10000000000000125
linear,0.4,787,delta_clean2,xgb,0.0434525856111623,30.976353928299012,31.735941320293403,149,38,49,62,-0.20000000000000134
linear,0.2,1049,delta_clean2,gbrt,0.0034750198428718316,32.06712433257056,31.699266503667484,271,58,100,113,-0.500000000000001
linear,0.3,918,delta_clean,rf,-0.016720202950424326,31.88405797101449,31.699266503667484,278,63,103,112,-0.4999999999999998
recall,0.2,1049,delta_clean2,gbrt,0.008576211219902586,32.036613272311214,31.687041564792185,258,55,94,109,-0.5999999999999998
linear,0.1,1180,delta_clean2,xgb,0.08429723629091346,30.907704042715483,31.662591687041562,88,24,25,39,-0.8000000000000003
linear,0.0,1311,delta_clean,xgb,0.027055113281630263,32.059496567505725,31.65036674816626,243,53,90,100,-0.9000000000000015
recall,0.4,787,clean,rf,-0.03079750845553503,31.96796338672769,31.638141809290953,212,51,68,93,-1.000000000000003
linear,0.4,787,clean,rf,-0.03456881765972219,31.998474446987036,31.613691931540345,225,52,81,92,-1.2000000000000033
geom,0.2,1049,delta_clean2,xgb,0.04153217497882966,31.060259344012202,31.60146699266504,172,44,58,70,-1.3000000000000007
